Date,High,Low,Open,Close,VOLUME,Adj Close
07.06.2017,98786.59,97469.8,98449.33,97616.52,997944800,97616.52
08.06.2017,98050.22,97552.03,97912.1,97977.54,752093600,97977.54
09.06.2017,99277.11,98404,98404,98942.87,815322700,98942.87
12.06.2017,99707.33,98900.63,98915.05,99442.11,843139100,99442.11
13.06.2017,100000.8,98887.99,99742.14,99299.67,962329500,99299.67
14.06.2017,99920.84,99095.45,99475.96,99636.27,1042993000,99636.27
15.06.2017,99262.63,98491.92,99180.99,98737.01,794803200,98737.01
16.06.2017,99021.94,97930.19,98757.7,98192.55,637554900,98192.55
19.06.2017,99332.13,98735.95,98735.95,99332.13,804962200,99332.13
20.06.2017,99852.93,99041.78,99665.69,99269.27,720038600,99269.27
21.06.2017,99651.89,98723.17,99180.29,99390.12,681969400,99390.12
22.06.2017,100106.8,99507.85,99800.73,100072.1,677689700,100072.1
23.06.2017,100265.6,99601.08,100179.7,99638.65,605431200,99638.65
28.06.2017,100617.7,99418.58,99439.14,100617.7,803262500,100617.7
29.06.2017,100990.5,100009.1,100916.8,100190.3,815416000,100190.3
30.06.2017,100778.1,99825.56,100032.5,100440.4,769506200,100440.4
03.07.2017,100957.8,100438.5,100639.3,100522.3,691857700,100522.3
04.07.2017,101245.8,100449.2,100539.1,101207.8,847241900,101207.8
05.07.2017,101415.7,100744.5,101296.3,100744.5,725335300,100744.5
06.07.2017,101331.3,100319.8,100855.3,100627,969151600,100627
07.07.2017,100838.7,100084.4,100718,100084.4,571124200,100084.4
10.07.2017,101181.4,100589.1,100589.1,101097.2,552194600,101097.2
11.07.2017,103558.6,101023.2,101134.6,103182.6,1150919000,103182.6
12.07.2017,104283.3,103052.9,103185.7,103809.8,1035861000,103809.8
13.07.2017,104915.1,103773.2,103942.2,104210.2,870745000,104210.2
14.07.2017,105199.7,104306.7,104421.5,105175.7,710936300,105175.7
17.07.2017,106402.1,105198,105362.4,106217,815433300,106217
18.07.2017,106244.6,105586,106229.9,105718.3,730218600,105718.3
19.07.2017,107564,106144,106144,107417.5,984246700,107417.5
20.07.2017,107749.8,106628.5,107608.6,106735.6,961670700,106735.6
21.07.2017,107186.6,106050.8,106471.5,106842.8,818806000,106842.8
24.07.2017,107508.3,106574.9,107212.9,106710.5,798623000,106710.5
25.07.2017,107519.9,106957.5,107077.9,107040.7,844444400,107040.7
26.07.2017,107588,107008.1,107205.9,107206.2,892076100,107206.2
27.07.2017,108605.5,107807.8,107807.8,108391.7,1073998000,108391.7
28.07.2017,108298.8,107577.3,108298.8,107699.7,968686400,107699.7
31.07.2017,108183.8,107388.1,107920.5,107531.4,859480900,107531.4
01.08.2017,107998.8,106092.4,107885,106147.4,1041902000,106147.4
02.08.2017,106839.1,105976,106343.2,106525.4,924014900,106525.4
03.08.2017,107395,106892.7,107067.5,107153.8,859651300,107153.8
04.08.2017,108648.6,107286.9,107315.2,108545.3,854091800,108545.3
07.08.2017,109947.9,109105.1,109105.1,109781.1,971227000,109781.1
08.08.2017,110321.8,109434.2,110009.7,109639.1,1143552000,109639.1
09.08.2017,109317.2,108497.2,109317.2,108714.6,1065762000,108714.6
10.08.2017,109415.2,107800.4,108935.1,107800.4,946794400,107800.4
11.08.2017,107533.6,106075.5,107403.8,106963.1,1145783000,106963.1
14.08.2017,109608.1,107907,107907,109537.4,1401401000,109537.4
15.08.2017,110232.5,106913.3,110014.5,106913.3,1674186000,106913.3
16.08.2017,107924.5,104939.4,107122.7,106862,1454414000,106862
17.08.2017,107675.8,106412.4,107409.8,106825.3,1167422000,106825.3
18.08.2017,107268.6,105921.6,106389.7,107202.4,1264504000,107202.4
21.08.2017,108878,106800.3,107234.8,108614.9,1142586000,108614.9
22.08.2017,109247.4,108325.5,108984.3,108594.5,1122550000,108594.5
23.08.2017,109247.6,108645.1,108727.4,108952.7,1019190000,108952.7
24.08.2017,110133.2,109027.6,109188.4,109153.9,993440300,109153.9
25.08.2017,110230,109061,109224.2,109755.1,720078300,109755.1
28.08.2017,110530.8,109931.5,110175.2,110340,662731300,110340
29.08.2017,110423.1,109444.7,110224.8,110423.1,978693600,110423.1
31.08.2017,110517.6,109954,110482.2,110010.5,363196900,110010.5
05.09.2017,110439.7,108736.3,110349.1,108873,1019910000,108873
06.09.2017,109873.2,108637.3,108964.7,109611.8,1066321000,109611.8
07.09.2017,110104.4,109157.9,109611.7,109743,1301889000,109743
08.09.2017,109997.2,108117.4,109849.9,108451.7,1196752000,108451.7
